account_id,avg_weekly_logins,feature_adoption_pct,support_tickets,avg_ticket_sentiment,contract_age_days,renewal_window_days,logins_trend,days_since_last_login,adoption_trend,contract_stage,company_size,industry,region,payment_status,primary_churn_reason,renewed
ACC-00021,12,0.6922,3,0.8356,540,29,-3.27,8,-0.0783,Legacy,SMB,Healthcare,LATAM,Failed,Adoption Declining,0
ACC-00022,16,0.5022,4,-0.8635,729,75,-2.18,28,-0.0093,Legacy,Mid-Market,Manufacturing,LATAM,On-Time,Support Issues,0
ACC-00023,78,0.1797,2,0.862,1005,12,4.69,6,0.0461,Legacy,Mid-Market,Finance,Europe,Late (15-29d),Low Feature Adoption,1
ACC-00024,59,0.6972,1,0.6647,219,62,-2.51,15,-0.0221,Mature,Enterprise,Healthcare,APAC,Late (5-14d),Payment Problems,1
ACC-00025,49,0.2999,3,-0.9581,987,10,2.56,5,0.018,Legacy,SMB,Retail,North America,Late (15-29d),Support Issues,0
ACC-00026,63,0.2916,2,-0.4036,716,29,-2.98,43,-0.0502,Legacy,Enterprise,Technology,APAC,Late (15-29d),Inactive User,0
ACC-00027,62,0.2488,7,-0.8981,987,12,4.58,56,-0.0544,Legacy,Enterprise,Retail,North America,Failed,Inactive User,0
ACC-00028,49,0.8601,3,0.991,592,38,6.55,2,0.1,Legacy,Enterprise,Manufacturing,Europe,On-Time,Other,1
ACC-00029,51,0.8532,3,-0.1443,861,24,-9.84,43,0.1,Legacy,Enterprise,Retail,LATAM,Late (5-14d),Inactive User,1
ACC-00030,33,0.6257,6,0.3243,676,21,-4.92,51,-0.0043,Legacy,Mid-Market,Healthcare,Europe,Late (15-29d),Inactive User,0
ACC-00031,30,0.4741,5,-0.5316,50,46,-1.18,13,-0.0389,Growth,Enterprise,Finance,LATAM,Late (15-29d),Support Issues,0
ACC-00032,59,0.6652,5,0.8675,870,79,-3.42,13,-0.0471,Legacy,SMB,Retail,Europe,Late (15-29d),Payment Problems,1
ACC-00033,76,0.6029,5,-0.4517,196,80,4.29,8,0.0201,Mature,Mid-Market,Manufacturing,North America,Late (15-29d),Payment Problems,0
ACC-00034,15,0.4191,7,-0.4796,417,12,1.1,35,0.0967,Legacy,Mid-Market,Retail,Europe,On-Time,Inactive User,0
ACC-00035,23,0.3844,1,-0.3708,630,69,-4.73,22,-0.0349,Legacy,Enterprise,Retail,APAC,Late (15-29d),Payment Problems,0
ACC-00036,78,0.3875,4,-0.075,345,73,7.09,56,0.01,Mature,Mid-Market,Healthcare,APAC,Failed,Inactive User,0
ACC-00037,45,0.5856,0,-0.9629,43,17,6.99,51,0.0074,Growth,Mid-Market,Manufacturing,North America,On-Time,Inactive User,0
ACC-00038,62,0.6418,4,0.1957,271,49,-6.65,56,0.0833,Mature,Mid-Market,Manufacturing,APAC,Late (5-14d),Inactive User,0
ACC-00039,79,0.4537,6,-0.9367,806,23,-3.03,14,0.014,Legacy,Mid-Market,Finance,North America,Late (15-29d),Support Issues,0
ACC-00040,71,0.9499,2,0.0784,594,10,4.17,6,-0.0698,Legacy,Mid-Market,Healthcare,North America,On-Time,Adoption Declining,1
ACC-00041,15,0.1005,2,-0.0842,927,69,4.64,19,0.0376,Legacy,Mid-Market,Healthcare,LATAM,On-Time,Low Feature Adoption,1
ACC-00042,46,0.3532,3,-0.5149,121,74,7.02,18,0.0085,Mature,SMB,Technology,LATAM,Late (15-29d),Support Issues,1
ACC-00043,64,0.4223,2,-0.3405,985,87,12.36,5,-0.0434,Legacy,Mid-Market,Finance,Europe,On-Time,Other,1
ACC-00044,46,0.0362,7,0.4113,538,47,2.09,50,0.053,Legacy,Mid-Market,Finance,LATAM,Late (15-29d),Inactive User,1
ACC-00045,56,0.3704,2,-0.9808,805,89,6.38,38,-0.0156,Legacy,Enterprise,Manufacturing,North America,Failed,Inactive User,0
ACC-00046,44,0.2828,4,-0.3667,64,11,13.35,0,0.0167,Growth,Mid-Market,Manufacturing,LATAM,Failed,Payment Problems,0
ACC-00047,75,0.5058,3,0.3606,235,38,-0.07,6,0.0072,Mature,Mid-Market,Finance,APAC,On-Time,Other,1
ACC-00048,29,0.343,2,-0.6955,1055,76,-3.92,34,-0.0149,Legacy,Enterprise,Healthcare,APAC,Failed,Inactive User,0
ACC-00049,62,0.7171,3,0.1208,1051,41,1.27,24,-0.0406,Legacy,SMB,Technology,Europe,On-Time,Other,1
ACC-00050,52,0.5095,2,-0.6621,595,28,7.97,37,0.028,Legacy,SMB,Manufacturing,North America,Failed,Inactive User,0
ACC-00051,54,0.1446,1,-0.6905,732,71,9.07,22,-0.061,Legacy,Mid-Market,Technology,Europe,Late (5-14d),Support Issues,1
ACC-00052,57,0.7401,3,0.5446,431,28,0.73,24,0.0464,Legacy,SMB,Finance,Europe,Late (15-29d),Payment Problems,1
ACC-00053,66,0.1153,3,-0.4669,759,17,-0.83,37,-0.0427,Legacy,SMB,Healthcare,LATAM,Late (5-14d),Inactive User,0
ACC-00054,22,0.8255,0,-0.2485,191,83,-6.37,57,-0.0582,Mature,SMB,Technology,Europe,On-Time,Inactive User,1
ACC-00055,20,0.9142,2,0.46,231,9,0.4,10,0.0701,Mature,SMB,Retail,LATAM,Late (15-29d),Payment Problems,1
ACC-00056,33,0.3295,3,-0.641,1025,15,-5.89,33,0.0047,Legacy,Mid-Market,Finance,LATAM,Late (5-14d),Inactive User,0
ACC-00057,72,0.9091,1,0.0635,299,66,-4.86,30,-0.0952,Mature,Mid-Market,Healthcare,Europe,Late (15-29d),Adoption Declining,1
ACC-00058,25,0.7813,2,0.8356,845,82,1.18,37,-0.0006,Legacy,Enterprise,Finance,Europe,Failed,Inactive User,1
ACC-00059,46,0.9055,5,0.1077,485,20,-6.39,53,0.0306,Legacy,Mid-Market,Finance,North America,Late (15-29d),Inactive User,0
ACC-00060,73,0.6596,4,-0.9023,1046,24,1.78,49,0.0319,Legacy,Mid-Market,Technology,LATAM,Late (5-14d),Inactive User,1
ACC-00061,57,0.2462,2,0.1794,325,79,4.74,54,-0.0387,Mature,SMB,Technology,APAC,Late (5-14d),Inactive User,1
ACC-00062,5,0.8787,3,-0.8197,749,29,-5.27,45,-0.0316,Legacy,SMB,Retail,North America,Late (5-14d),Inactive User,0
ACC-00063,55,0.1969,2,-0.4358,367,80,-2.95,11,0.0082,Legacy,Mid-Market,Manufacturing,LATAM,On-Time,Low Feature Adoption,0
ACC-00064,61,0.2245,2,0.6994,908,89,-7.23,8,0.0519,Legacy,Mid-Market,Retail,LATAM,Late (5-14d),Payment Problems,1
ACC-00065,8,0.2802,6,-0.9779,821,53,2.97,12,-0.0658,Legacy,SMB,Healthcare,LATAM,Late (5-14d),Support Issues,0
ACC-00066,16,0.3121,2,-0.846,246,75,-7.44,57,-0.0629,Mature,Mid-Market,Healthcare,LATAM,On-Time,Inactive User,0
ACC-00067,48,0.5139,3,-0.2733,793,53,3.5,19,0.0685,Legacy,Mid-Market,Finance,LATAM,Failed,Payment Problems,1
ACC-00068,61,0.7049,2,0.9988,217,36,1.45,58,0.0609,Mature,SMB,Technology,North America,Late (5-14d),Inactive User,1
ACC-00069,15,0.9092,3,-0.4163,409,31,10.79,20,-0.0471,Legacy,SMB,Finance,LATAM,Late (15-29d),Payment Problems,1
ACC-00070,65,0.1049,4,-0.6855,522,34,8.36,21,-0.0194,Legacy,Enterprise,Manufacturing,Europe,Failed,Support Issues,0
ACC-00071,22,0.9362,1,0.0988,1094,31,-5.94,0,0.1,Legacy,Mid-Market,Finance,APAC,Failed,Payment Problems,1
ACC-00072,3,0.9045,2,0.0385,44,80,9.13,39,0.044,Growth,SMB,Healthcare,North America,Late (15-29d),Low Engagement,0
ACC-00073,54,0.0718,6,-0.1008,94,84,-2.67,59,-0.0025,Mature,SMB,Healthcare,North America,Late (15-29d),Inactive User,0
ACC-00074,14,0.3659,1,0.8933,550,64,-4.03,40,0.0571,Legacy,Mid-Market,Retail,APAC,On-Time,Inactive User,0
ACC-00075,36,0.8006,1,-0.4397,677,47,-2.54,16,-0.0241,Legacy,Mid-Market,Finance,North America,Late (5-14d),Payment Problems,0
ACC-00076,67,0.6071,3,-0.4134,622,31,-1.44,44,0.0079,Legacy,SMB,Technology,LATAM,Late (15-29d),Inactive User,1
ACC-00077,10,0.7679,3,-0.7195,421,84,10.8,3,-0.0155,Legacy,Mid-Market,Manufacturing,LATAM,On-Time,Support Issues,1
ACC-00078,49,0.7103,1,0.3946,448,54,-14.08,5,0.0354,Legacy,Enterprise,Manufacturing,APAC,On-Time,Other,0
ACC-00079,65,0.4969,2,-0.3573,318,16,9.26,44,0.0351,Mature,SMB,Technology,North America,Failed,Inactive User,1
ACC-00080,57,0.0596,2,0.6055,408,81,4.15,57,0.0112,Legacy,SMB,Manufacturing,Europe,On-Time,Inactive User,0
ACC-00081,27,0.5809,3,0.9435,260,17,0.84,48,0.0252,Mature,Mid-Market,Technology,APAC,On-Time,Inactive User,0
ACC-00082,75,0.0666,4,-0.9126,1047,27,-2.99,18,0.0568,Legacy,SMB,Technology,North America,On-Time,Support Issues,0
ACC-00083,5,0.5996,2,0.9862,70,51,-0.46,29,0.0233,Growth,Mid-Market,Retail,North America,Failed,Payment Problems,0
ACC-00084,71,0.7884,4,-0.4918,1081,13,4.26,22,0.0113,Legacy,Enterprise,Finance,APAC,Late (15-29d),Payment Problems,1
ACC-00085,57,0.5816,4,-0.1598,164,87,4.81,31,0.0213,Mature,Enterprise,Healthcare,LATAM,On-Time,Inactive User,1
ACC-00086,15,0.9771,4,0.5555,230,70,-4.16,55,0.0606,Mature,Enterprise,Healthcare,APAC,Late (5-14d),Inactive User,1
ACC-00087,76,0.4576,5,0.3307,809,70,3.87,28,-0.0462,Legacy,SMB,Finance,APAC,Failed,Payment Problems,1
ACC-00088,30,0.7389,4,0.5569,959,8,-2.94,7,0.0208,Legacy,Enterprise,Manufacturing,APAC,Late (15-29d),Payment Problems,1
ACC-00089,20,0.6605,5,-0.0673,1086,82,-0.88,20,-0.0943,Legacy,Mid-Market,Technology,APAC,On-Time,Adoption Declining,0
ACC-00090,37,0.9718,2,0.8321,532,48,6.56,16,-0.0141,Legacy,Mid-Market,Healthcare,APAC,Failed,Payment Problems,0
ACC-00091,3,0.7047,2,0.5799,436,88,3.97,16,0.0943,Legacy,Enterprise,Retail,LATAM,Late (15-29d),Low Engagement,1
ACC-00092,73,0.1775,5,-0.3815,834,60,-8.09,55,-0.0395,Legacy,Enterprise,Manufacturing,Europe,Late (15-29d),Inactive User,0
ACC-00093,41,0.9373,1,0.897,128,81,0.67,20,-0.0816,Mature,Mid-Market,Retail,LATAM,Late (5-14d),Adoption Declining,1
ACC-00094,39,0.6611,1,0.9221,713,22,2.1,14,-0.0473,Legacy,Enterprise,Healthcare,Europe,On-Time,Other,1
ACC-00095,26,0.077,1,-0.1699,755,24,0.74,26,0.0356,Legacy,Enterprise,Finance,LATAM,Late (5-14d),Low Feature Adoption,0
ACC-00096,2,0.6513,3,0.3039,990,65,-12.58,24,-0.0066,Legacy,Enterprise,Finance,APAC,Failed,Low Engagement,0
ACC-00097,23,0.8678,2,0.6295,642,22,-6.77,32,-0.0503,Legacy,Mid-Market,Retail,North America,On-Time,Inactive User,1
ACC-00098,23,0.574,6,0.6346,672,12,-8.87,1,0.0604,Legacy,Mid-Market,Manufacturing,Europe,Failed,Payment Problems,1
ACC-00099,16,0.3599,1,-0.9718,1058,63,-3.17,51,0.0214,Legacy,Enterprise,Healthcare,Europe,Failed,Inactive User,0
ACC-00100,9,0.8081,1,0.258,532,53,0.69,41,-0.0578,Legacy,Mid-Market,Technology,North America,On-Time,Inactive User,0
ACC-00101,13,0.7712,2,0.9474,796,54,-2.61,58,-0.0111,Legacy,Enterprise,Finance,Europe,Late (15-29d),Inactive User,1
ACC-00102,28,0.5424,3,-0.5373,427,48,-3.1,15,0.1,Legacy,Enterprise,Retail,LATAM,Failed,Support Issues,0
ACC-00103,27,0.1682,3,0.5912,900,82,-8.71,54,-0.0155,Legacy,Enterprise,Healthcare,Europe,Failed,Inactive User,0
ACC-00104,51,0.2609,3,0.0685,824,66,-6.24,35,-0.0847,Legacy,SMB,Manufacturing,LATAM,On-Time,Inactive User,1
ACC-00105,64,0.7289,0,-0.5571,422,83,-4.78,7,0.0235,Legacy,SMB,Technology,APAC,Late (15-29d),Support Issues,1
ACC-00106,52,0.7938,3,-0.8979,236,10,4.41,15,0.0191,Mature,Enterprise,Technology,Europe,Late (5-14d),Support Issues,0
ACC-00107,38,0.2881,3,0.5198,1068,8,2.16,6,0.0666,Legacy,SMB,Finance,Europe,On-Time,Other,1
ACC-00108,65,0.3733,1,-0.3671,921,65,3.92,4,-0.0196,Legacy,Enterprise,Technology,Europe,Failed,Payment Problems,1
ACC-00109,18,0.0945,1,-0.2488,893,33,2.31,22,0.0221,Legacy,SMB,Healthcare,LATAM,On-Time,Low Feature Adoption,0
ACC-00110,63,0.7049,2,-0.0295,772,33,4.11,7,0.0123,Legacy,Enterprise,Finance,APAC,Late (5-14d),Payment Problems,1
ACC-00111,51,0.0234,4,0.0144,593,85,-6.83,2,-0.0003,Legacy,SMB,Finance,North America,Late (5-14d),Low Feature Adoption,0
ACC-00112,9,0.0647,4,-0.5876,1050,78,6.68,34,0.0162,Legacy,Mid-Market,Finance,North America,Failed,Inactive User,0
ACC-00113,13,0.0242,5,0.3413,125,13,5.24,49,0.0301,Mature,Mid-Market,Healthcare,North America,Late (15-29d),Inactive User,0
ACC-00114,40,0.6395,4,0.3851,514,69,-1.87,35,0.0275,Legacy,SMB,Retail,LATAM,Late (5-14d),Inactive User,1
ACC-00115,55,0.4207,3,-0.7154,260,52,4.85,58,0.0459,Mature,Enterprise,Technology,North America,On-Time,Inactive User,1
ACC-00116,79,0.3056,0,0.0658,778,69,6.08,35,-0.1,Legacy,SMB,Technology,Europe,Late (15-29d),Inactive User,0
ACC-00117,43,0.8962,3,0.2185,570,18,-0.26,14,-0.0748,Legacy,SMB,Retail,APAC,Late (5-14d),Adoption Declining,0
ACC-00118,44,0.2051,4,-0.6275,1089,19,2.69,29,0.0107,Legacy,Mid-Market,Finance,APAC,On-Time,Support Issues,1
ACC-00119,68,0.3938,3,0.7889,554,49,-2.6,14,0.0058,Legacy,Mid-Market,Manufacturing,LATAM,On-Time,Other,1
ACC-00120,33,0.9227,3,-0.0343,607,23,6.6,28,-0.0508,Legacy,Mid-Market,Healthcare,Europe,Failed,Adoption Declining,1
ACC-00121,24,0.43,1,-0.7699,711,69,-2.26,3,-0.0167,Legacy,SMB,Finance,North America,Failed,Support Issues,0
ACC-00122,36,0.5525,3,-0.3312,586,87,1.57,33,-0.0413,Legacy,Mid-Market,Finance,APAC,On-Time,Inactive User,0
ACC-00123,10,0.0971,0,-0.0461,1042,42,-0.22,22,0.0294,Legacy,Mid-Market,Finance,Europe,Failed,Low Feature Adoption,0
ACC-00124,20,0.7786,4,-0.9797,675,14,-2.91,57,-0.0446,Legacy,Mid-Market,Technology,Europe,Failed,Inactive User,0
ACC-00125,75,0.4258,0,-0.9362,825,75,-8.52,34,0.0107,Legacy,Enterprise,Technology,LATAM,Late (5-14d),Inactive User,0
ACC-00126,12,0.7885,4,-0.889,1081,86,4.43,27,0.0513,Legacy,Enterprise,Manufacturing,LATAM,Late (15-29d),Support Issues,0
ACC-00127,62,0.2636,4,0.0763,219,42,-0.18,30,-0.0435,Mature,SMB,Healthcare,Europe,Late (5-14d),Payment Problems,0
ACC-00128,18,0.4256,2,-0.3278,662,34,9.16,41,-0.067,Legacy,Mid-Market,Finance,LATAM,Late (15-29d),Inactive User,0
ACC-00129,63,0.7751,3,0.7862,657,53,6.08,32,-0.0381,Legacy,SMB,Technology,Europe,Late (5-14d),Inactive User,0
ACC-00130,25,0.9549,3,0.1185,1002,82,6.01,17,-0.0435,Legacy,SMB,Retail,LATAM,On-Time,Other,0
ACC-00131,12,0.0772,8,0.5198,739,36,3.67,4,0.002,Legacy,Mid-Market,Technology,APAC,Failed,Low Feature Adoption,1
ACC-00132,21,0.8,5,0.3743,678,29,3.77,8,-0.0851,Legacy,SMB,Finance,LATAM,Late (5-14d),Adoption Declining,0
ACC-00133,25,0.3087,3,0.0406,347,22,0.78,19,0.0803,Mature,Mid-Market,Finance,Europe,Late (15-29d),Payment Problems,0
ACC-00134,11,0.5487,2,0.4894,713,20,4.12,37,-0.0628,Legacy,Mid-Market,Technology,APAC,Failed,Inactive User,0
ACC-00135,64,0.2985,3,0.0894,693,80,-2.24,50,-0.0675,Legacy,Enterprise,Retail,Europe,Failed,Inactive User,0
ACC-00136,73,0.6089,3,-0.2291,471,77,-12.21,8,0.0031,Legacy,SMB,Retail,Europe,Late (5-14d),Payment Problems,0
ACC-00137,50,0.3597,1,-0.1284,593,58,3.54,17,-0.0061,Legacy,SMB,Finance,LATAM,Failed,Payment Problems,1
ACC-00138,62,0.3403,4,0.677,981,43,3.65,55,0.0686,Legacy,Mid-Market,Technology,APAC,Late (15-29d),Inactive User,1
ACC-00139,49,0.0564,8,0.1265,728,35,-6.61,14,-0.0137,Legacy,Enterprise,Healthcare,Europe,Late (5-14d),Low Feature Adoption,0
ACC-00140,14,0.1611,1,-0.2454,142,73,2.57,14,-0.0143,Mature,Enterprise,Healthcare,North America,Late (15-29d),Low Feature Adoption,0
ACC-00141,1,0.9004,5,-0.6405,31,21,2.49,58,0.0324,Growth,SMB,Finance,LATAM,On-Time,Low Engagement,0
ACC-00142,25,0.9783,5,-0.0093,671,53,5.4,13,0.0474,Legacy,Enterprise,Retail,APAC,On-Time,Other,1
ACC-00143,59,0.7693,4,-0.4952,249,52,-0.53,34,-0.0972,Mature,SMB,Healthcare,APAC,Failed,Inactive User,0
ACC-00144,72,0.2953,10,0.9112,884,58,-7.61,39,0.0033,Legacy,SMB,Technology,Europe,Failed,Inactive User,0
ACC-00145,69,0.4063,5,-0.018,414,25,-2.42,50,0.1,Legacy,Enterprise,Manufacturing,APAC,Late (15-29d),Inactive User,0
ACC-00146,5,0.7299,3,-0.9821,759,83,-2.44,42,-0.0312,Legacy,Mid-Market,Manufacturing,APAC,On-Time,Inactive User,0
ACC-00147,19,0.9498,3,-0.8142,276,27,-0.59,59,0.0075,Mature,SMB,Retail,North America,Late (15-29d),Inactive User,0
ACC-00148,23,0.4573,2,-0.4314,865,70,0.61,59,0.051,Legacy,SMB,Manufacturing,APAC,Failed,Inactive User,0
ACC-00149,9,0.8163,4,-0.8157,232,43,-1.19,35,0.0243,Mature,SMB,Technology,North America,Late (15-29d),Inactive User,0
ACC-00150,50,0.9561,2,0.7879,152,33,1.98,46,-0.0525,Mature,SMB,Finance,LATAM,Failed,Inactive User,1
ACC-00151,16,0.8585,2,0.7087,430,61,-5.49,55,-0.0034,Legacy,Enterprise,Finance,LATAM,On-Time,Inactive User,1
ACC-00152,33,0.2381,2,0.9417,796,35,1.8,41,-0.062,Legacy,Enterprise,Technology,LATAM,Late (5-14d),Inactive User,1
ACC-00153,2,0.0277,3,0.4129,323,26,-3.79,19,-0.0534,Mature,Enterprise,Finance,APAC,Late (15-29d),Low Engagement,0
ACC-00154,14,0.4924,5,0.2909,309,31,-1.01,10,0.0554,Mature,Enterprise,Technology,LATAM,Failed,Payment Problems,0
ACC-00155,1,0.5301,5,0.847,913,76,-9.14,56,0.0428,Legacy,SMB,Technology,North America,Late (5-14d),Low Engagement,0
ACC-00156,58,0.2132,4,0.8928,227,69,4.72,40,0.0893,Mature,Mid-Market,Manufacturing,APAC,Late (5-14d),Inactive User,1
ACC-00157,16,0.2933,6,0.755,1011,42,-1.53,53,0.0462,Legacy,Mid-Market,Manufacturing,APAC,On-Time,Inactive User,0
ACC-00158,79,0.7545,4,0.7229,781,8,1.69,16,-0.0071,Legacy,Enterprise,Retail,North America,Failed,Payment Problems,0
ACC-00159,47,0.4715,1,0.3434,173,28,-4.11,40,-0.0507,Mature,SMB,Manufacturing,North America,Late (15-29d),Inactive User,0
ACC-00160,44,0.3247,6,-0.9968,638,22,-2.8,24,0.0699,Legacy,Enterprise,Finance,North America,Late (5-14d),Support Issues,0
ACC-00161,14,0.6177,3,-0.141,216,24,-4.83,28,0.0313,Mature,Mid-Market,Manufacturing,LATAM,Failed,Payment Problems,1
ACC-00162,24,0.6466,1,0.2713,493,75,0.79,22,0.04,Legacy,Enterprise,Technology,APAC,Failed,Payment Problems,1
ACC-00163,55,0.7586,3,0.0943,689,60,2.88,8,0.0287,Legacy,SMB,Manufacturing,Europe,Late (5-14d),Payment Problems,1
ACC-00164,15,0.1704,2,0.6423,793,36,-5.01,55,0.0593,Legacy,SMB,Finance,Europe,On-Time,Inactive User,0
ACC-00165,72,0.7319,2,0.6378,984,51,0.7,24,-0.0762,Legacy,SMB,Retail,APAC,Failed,Adoption Declining,0
ACC-00166,34,0.5955,4,0.1974,432,25,-1.22,40,-0.0607,Legacy,Enterprise,Healthcare,APAC,On-Time,Inactive User,0
ACC-00167,2,0.0753,3,-0.956,176,40,0.97,22,-0.0436,Mature,Mid-Market,Technology,North America,Late (5-14d),Low Engagement,0
ACC-00168,27,0.7663,2,-0.2613,893,19,-4.49,53,0.0182,Legacy,SMB,Finance,LATAM,Late (5-14d),Inactive User,0
ACC-00169,74,0.3878,2,-0.5424,518,49,2.33,1,-0.0229,Legacy,Mid-Market,Finance,North America,On-Time,Support Issues,0
ACC-00170,72,0.3372,2,-0.3224,958,68,-1.39,44,0.0564,Legacy,Mid-Market,Healthcare,North America,On-Time,Inactive User,1
ACC-00171,23,0.4502,1,0.2346,580,28,-0.69,54,-0.0008,Legacy,Enterprise,Retail,Europe,On-Time,Inactive User,0
ACC-00172,68,0.3523,3,-0.8671,367,58,11.7,0,0.1,Legacy,Enterprise,Technology,LATAM,Late (15-29d),Support Issues,0
ACC-00173,14,0.3448,3,-0.9555,901,58,-8.81,37,0.0857,Legacy,Mid-Market,Retail,APAC,On-Time,Inactive User,0
ACC-00174,63,0.7958,2,-0.1263,670,42,2.7,5,0.007,Legacy,SMB,Healthcare,APAC,On-Time,Other,1
ACC-00175,65,0.1395,0,0.5871,502,79,2.18,47,-0.0679,Legacy,SMB,Technology,Europe,On-Time,Inactive User,1
ACC-00176,68,0.9518,2,-0.9386,180,25,3.15,43,0.0345,Mature,Enterprise,Manufacturing,North America,Late (15-29d),Inactive User,1
ACC-00177,63,0.5527,3,0.6981,292,44,2.93,14,-0.0557,Mature,SMB,Retail,LATAM,Failed,Adoption Declining,0
ACC-00178,64,0.1956,4,-0.2322,173,76,0.97,6,-0.0487,Mature,Mid-Market,Manufacturing,North America,Late (15-29d),Low Feature Adoption,0
ACC-00179,32,0.146,4,-0.7635,375,85,2.04,1,-0.0197,Legacy,SMB,Technology,LATAM,Failed,Support Issues,0
ACC-00180,79,0.5878,1,0.135,653,63,13.43,29,-0.0206,Legacy,Enterprise,Healthcare,North America,On-Time,Other,1
ACC-00181,13,0.6277,1,0.9047,1046,26,-0.86,28,0.0276,Legacy,Mid-Market,Manufacturing,LATAM,On-Time,Other,1
ACC-00182,66,0.0709,2,0.085,910,15,-0.91,11,0.0164,Legacy,Mid-Market,Manufacturing,North America,Late (15-29d),Low Feature Adoption,1
ACC-00183,19,0.2533,8,0.3733,31,38,-5.34,51,-0.0505,Growth,SMB,Finance,Europe,Late (15-29d),Inactive User,0
ACC-00184,24,0.7836,2,0.6328,926,10,-4.12,33,-0.0148,Legacy,SMB,Technology,LATAM,Late (5-14d),Inactive User,1
ACC-00185,11,0.0676,8,0.5987,283,56,1.12,29,-0.068,Mature,Mid-Market,Healthcare,North America,Late (15-29d),Low Feature Adoption,0
ACC-00186,59,0.8409,0,-0.8538,482,88,1.84,35,0.0201,Legacy,Enterprise,Finance,LATAM,Late (15-29d),Inactive User,1
ACC-00187,15,0.6518,4,0.482,1090,11,-0.56,34,-0.093,Legacy,Enterprise,Retail,North America,On-Time,Inactive User,1
ACC-00188,10,0.437,3,0.8989,1044,26,3.26,1,-0.0117,Legacy,SMB,Healthcare,Europe,On-Time,Other,1
ACC-00189,41,0.3526,4,0.4013,38,81,-2.0,49,-0.0323,Growth,Enterprise,Finance,LATAM,On-Time,Inactive User,0
ACC-00190,27,0.0385,6,0.6729,845,43,12.43,2,0.0273,Legacy,Mid-Market,Retail,North America,Late (15-29d),Low Feature Adoption,1
ACC-00191,60,0.8122,5,-0.0289,237,28,0.76,41,-0.0404,Mature,Enterprise,Healthcare,Europe,Late (5-14d),Inactive User,1
ACC-00192,73,0.157,1,-0.3619,433,64,3.37,11,-0.0425,Legacy,Mid-Market,Finance,North America,On-Time,Low Feature Adoption,0
ACC-00193,52,0.3172,5,0.3525,181,74,0.81,3,0.0198,Mature,SMB,Healthcare,APAC,Late (5-14d),Payment Problems,0
